filename,class,DAI,HAI,trap_length,Segment_nbhoodsize,Project_level,Combine_level,Segment_mean,Segment_grad
Bl26_x25_081116_ID7898_151.tif,,6.06421654262334,145.54119702296,135,-2,8,0.3,1,20
B50_x20_side_316.tif,,7.85169919453574,188.440780668858,292,-2,8,0.3,1.5,20
B47_x20_side_345.tif,F,8.04932990218378,193.183917652411,318,-2,8,0.3,1.5,20
B46_x20_side_370.tif,F,8.25820599207176,198.196943809722,348,-2,8,0.3,1.5,20
Bl25_20x_081116_ID7898_372.tif,,8.62845484637307,207.082916312954,408.3,-2,8,0.3,1.5,10
heatshocked_2-2-16_Imaged_day_2_line_16_45_8min_bladder_2_side.tif,,8.6944662551754,208.66719012421,420.1,-2,8,0.3,1.5,20
21216_6dahs_B1_side2.tif,F,8.86916319587635,212.859916701032,453,-2,8,0.3,2,20
B45_x20_side_505.tif,,9.17535061513691,220.208414763286,517,-2,8,0.3,2,20
mCherry_bladders_imaged_03-12-15_HyD_compensation_linear_AOTF_PMT_bladder_3.tif,,9.1914282436329,220.59427784719,520.6,-2,8,0.3,2,20
181116_5dahs_bl2_side1.tif,,9.5699792708,229.6795024992,613,-2,8,0.3,2,20
181116_6dahs_bl4_side1.tif,,9.74675419737969,233.922100737113,661.6,-2,8,0.3,2,20
Heatshocked_23-6-16_Day_2_line_16_45_6min_x20_zoom_water_1_bladder_4_side.tif,,9.58091455232895,229.941949255895,683,-2,8,0.3,2,10
Heatshock_19-1-16_45C_6min_line_16_bladder_3_side.tif,,9.90707451080994,237.769788259439,709,-2,8,0.3,2,15
Bl29_x10_081116_ID7898_875um.tif,,10.2918930598855,247.005433437252,837.1,-2,8,0.3,2,20
0101217_B1_890.tif,H,10.3581937524219,248.596650058125,861.4,-2,4,0.2,2,10
030217_B11-1_20xt_909.tif,H,10.3718710577321,248.92490538557,866.5,-2,4,0.2,2,10
0101217_B2_good_952.tif,H,10.3944886621793,249.467727892304,875,-2,4,0.2,2,10
030217_B9_20xt_957.tif,H,10.5481552817586,253.155726762207,926,-2,4,0.2,2,10
030217_B3_980.tif,H,10.5334885967698,252.803726322476,929.1,-2,4,0.2,2,10
0101217_B6_991.tif,H,10.5257450044295,252.617880106307,935,-2,4,0.2,2,10
0101217_B10_994.tif,H,10.5531060434918,253.274545043802,937,-2,4,0.2,2,10
bladder33_x20Imm_tile2x2_z1_ph1.tif,,11.3295158616681,271.908380680034,1310,-2,8,0.2,2,10
